qid,state_name,lat,lon,name_en,name_hi,name_ta,name_te,name_kn,name_ml,name_bn,name_or,name_mr,name_gu,image_url,deity,religion,architecture_style,commissioned_by,founded_by,inception,heritage_status,inscription,commons_category,wiki_image_url,best_image_url,image_license,image_author,wikipedia_en,asi_id
Q24951898,Madhya Pradesh,23.100300,77.579700,Bhojeshwar Temple,भोजेश्वर मन्दिर,போஜேஷ்வர் கோயில்,భోజేశ్వర ఆలయం,,സൈവിത്തീ ക്ഷേത്രം,,,भोजेश्वर मंदिर,ભોજેશ્વર મંદિર,http://commons.wikimedia.org/wiki/Special:FilePath/Shiva%20Temple%2C%20Bhojpur%2001.jpg?width=640,Shiva,,,,,,Tentative World Heritage Site; Monument of National Importance,,Bhojeshwar Temple,https://upload.wikimedia.org/wikipedia/commons/d/d7/Shiva_Temple%2C_Bhojpur_01.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d7/Shiva_Temple%2C_Bhojpur_01.jpg,,,https://en.wikipedia.org/wiki/Bhojeshwar_Temple,N-MP-218-a
Q24952190,Karnataka,14.765000,75.124000,"Tarakeshwara Temple, Hangal",,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hangal%20Tarakeshwara%20photo7.jpg?width=640,Shiva,,,,,,Monument of National Importance,,"Tarakesvara Temple, Hangal",https://upload.wikimedia.org/wikipedia/commons/d/d4/KITLV_88225_-_Unknown_-_Tarakeshvara_temple_at_Hangal_in_British_India_-_1897.tif,https://upload.wikimedia.org/wikipedia/commons/d/d4/KITLV_88225_-_Unknown_-_Tarakeshvara_temple_at_Hangal_in_British_India_-_1897.tif,Public domain,Unknown authorUnknown author,"https://en.wikipedia.org/wiki/Tarakeshwara_Temple,_Hangal",N-KA-D238
Q2502406,Karnataka,15.335165,76.458727,Virupaksha Temple,hampi virupaksha temple information,விருபாட்சர் கோயில்,విరూపాక్ష దేవాలయం,ವಿರೂಪಾಕ್ಷ ದೇವಾಲಯ,വിരൂപാക്ഷക്ഷേത്രം,বিরূপাক্ষ মন্দির,ବିରୁପାକ୍ଷ ମନ୍ଦିର,"विरुपाक्ष मंदिर, हंपी",વિરૂપાક્ષ મંદિર,http://commons.wikimedia.org/wiki/Special:FilePath/Inner%20Courtyard%20of%20Virupaksha%20Temple%20at%20Hampi.jpg?width=640,Shiva,,,,Vijayanagara Empire,,Monument of National Importance,,Virupaksha Temple,https://upload.wikimedia.org/wikipedia/commons/b/b9/Complex_of_Virupaksha_Temple%2C_Hampi_%2804%29.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Complex_of_Virupaksha_Temple%2C_Hampi_%2804%29.jpg,CC BY-SA 4.0,iMahesh,"https://en.wikipedia.org/wiki/Virupaksha_Temple,_Hampi",N-KA-B205
Q25378223,West Bengal,21.994453,88.489914,Jatar Deul,,,,,,জটার দেউল,ଜଟାର ଦେଉଳ,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jatar%20Deul%20-%20WB.jpg?width=640,,,Deul,,,,Monument of National Importance,,Jatar Deul,https://upload.wikimedia.org/wikipedia/commons/c/c5/Jatar_Deul_-_WB.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Jatar_Deul_-_WB.jpg,CC BY-SA 4.0,2Backpackers,https://en.wikipedia.org/wiki/Jatar_Deul,N-WB-6
Q25378270,West Bengal,23.609400,87.451912,Temple of Ichai Ghosh,,,,,,ইছাই ঘোষের দেউল,ଇଚାଇ ଘୋଷେଙ୍କର ଦେଉଳ,,,http://commons.wikimedia.org/wiki/Special:FilePath/Temple%20of%20Ichai%20Ghosh.jpg?width=640,,,Deul,,,,Monument of National Importance,,Temple of Ichai Ghosh,https://upload.wikimedia.org/wikipedia/commons/8/8a/Temple_of_Ichai_Ghosh.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Temple_of_Ichai_Ghosh.jpg,,,https://en.wikipedia.org/wiki/Ichhai_Ghosher_Deul,N-WB-51
Q25553364,Tamil Nadu,12.845278,79.706111,"Piravatheeswarar Temple, Kanchipuram",बृहदेश्वर मंदिर कांचीपुरम,காஞ்சிபுரம் பிறவாதீசுவரர் கோயில்,,,,বৃহদীশ্বর মন্দির কাঞ্চিপুরম,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Piravathaneshwarer%20temple.jpg?width=640,,,,,,,Monument of National Importance,,"Piravatheeswarar Temple, Kanchipuram",,http://commons.wikimedia.org/wiki/Special:FilePath/Piravathaneshwarer%20temple.jpg?width=640,,,,N-TN-C148
Q25627418,Karnataka,12.901600,76.142300,"Nageshvara-Chennakeshava Temple complex, Mosale",,,"నాగేశ్వర-చెన్నకేశవ ఆలయ సముదాయం, మోసాలె",ಚೆನ್ನಕೇಶವ ನಾಗೇಶ್ವರ ದೇವಾಲಯ,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nageshvara%20%28near%29%20and%20Chennakeshava%20%28far%29%20temples%20at%20Mosale.JPG?width=640,,,,,,,Monument of National Importance,,Nageshvara-Chennakeshava Temple complex,https://upload.wikimedia.org/wikipedia/commons/e/ed/Twin_Temples_Nageshswara_%26_Chenna_Kesava_Temple_-_Mosale.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Twin_Temples_Nageshswara_%26_Chenna_Kesava_Temple_-_Mosale.jpg,,,"https://en.wikipedia.org/wiki/Nageshvara-Chennakeshava_Temple_complex,_Mosale",N-KA-B119
Q25643861,Odisha,,,"Siddeshwar Temple, Athmallik",,,,,,,"ସିଦ୍ଧେଶ୍ଵର ମନ୍ଦିର, ଆଠମଲ୍ଲିକ",,,http://commons.wikimedia.org/wiki/Special:FilePath/Siddeshwar%20Temple%2C%20Athmallik.JPG?width=640,,,,,,,State Protected Monument,,"Siddeshwar Temple, Athmallik",,http://commons.wikimedia.org/wiki/Special:FilePath/Siddeshwar%20Temple%2C%20Athmallik.JPG?width=640,,,,S-OR-3
Q25681781,Assam,26.958468,93.798458,Maghnowa Doul,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maghnuwa%20Doul.jpg?width=640,,,,,,,State Protected Monument,,Maghnowa Doul,,http://commons.wikimedia.org/wiki/Special:FilePath/Maghnuwa%20Doul.jpg?width=640,CC BY-SA 4.0,BolinHaz,,S-AS-71
Q25682148,Assam,26.186887,91.723977,Aswakranta temple,,,,,,অশ্বক্রান্ত মন্দির,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Aswoklanta%20temple.JPG?width=640,,,,,,,State Protected Monument,,Aswaklanta Temple,,http://commons.wikimedia.org/wiki/Special:FilePath/Aswoklanta%20temple.JPG?width=640,CC BY-SA 3.0,Bornav27may,,S-AS-27
Q2570737,Gujarat,23.583806,72.132684,Sun Temple,मोदेरा सूर्य मंदिर,"சூரியன் கோயில், குஜராத்",మొధెరా సూర్య దేవాలయం,,"സൂര്യ ക്ഷേത്രം, മോണ്ടറ","সূর্য মন্দির, মধেরা","ସୂର୍ଯ୍ୟ ମନ୍ଦିର, ମୋଧେରା",मोढेराचे सूर्य मंदिर,"સૂર્યમંદિર, મોઢેરા",http://commons.wikimedia.org/wiki/Special:FilePath/Modhera.jpg?width=640,,,,,,1026-01-01T00:00:00Z,Monument of National Importance; Tentative World Heritage Site,,"Sun Temple, Modhera",https://upload.wikimedia.org/wikipedia/commons/7/73/Surya_mandhir.jpg,https://upload.wikimedia.org/wikipedia/commons/7/73/Surya_mandhir.jpg,,,"https://en.wikipedia.org/wiki/Sun_Temple,_Modhera",N-GJ-158
Q2578551,Odisha,20.240606,85.835781,Ananta Vasudeva Temple,अनंत वासुदेव मंदिर,,అనంత వాసుదేవ ఆలయం,ಅನಂತ ವಾಸುದೇವ ದೇವಸ್ಥಾನ,അനന്ത വാസുദേവ ക്ഷേത്രം,অনন্ত বাসুদেব মন্দির,ଅନନ୍ତ ବାସୁଦେବ ମନ୍ଦିର,अनंत वासुदेव मंदिर,,http://commons.wikimedia.org/wiki/Special:FilePath/Ananta%20Basudev%20Temple%2C%20Bhubaneswar.jpg?width=640,,,,,,,Monument of National Importance,,Ananta Vasudeva Temple,https://upload.wikimedia.org/wikipedia/commons/0/0a/Ananta_Vasudev.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Ananta_Vasudev.jpg,CC BY-SA 4.0,Satyabrata,https://en.wikipedia.org/wiki/Ananta_Vasudeva_Temple,N-OR-50
Q2620389,Andhra Pradesh,17.766400,83.250500,Simhachalam Temple,सिंहाचलम मंदिर,சிம்மாச்சலம்,సింహాచలం,"ವರಾಹ ಲಕ್ಷ್ಮಿ ನರಸಿಂಹ ದೇವಸ್ಥಾನ, ಸಿಂಹಾಚಲಂ",,"বরাহ লক্ষ্মী নৃসিংহ মন্দির, সিংহচলম",ସିଙ୍ଘାଚଳମ ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/Temple%20tower%20at%20simhachalaM.JPG?width=640,,,,,,,State Protected Monument,,Simhachalam Varaha Narasimha Temple,https://upload.wikimedia.org/wikipedia/commons/1/18/Simhachalam_temple_from_a_hilltop.jpg,https://upload.wikimedia.org/wikipedia/commons/1/18/Simhachalam_temple_from_a_hilltop.jpg,,,"https://en.wikipedia.org/wiki/Varaha_Lakshmi_Narasimha_temple,_Simhachalam",S-AP-455
Q26258400,Madhya Pradesh,24.593000,74.817500,Nava Toran Temple,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/0111321%20Nau%20toran%20temple%2C%20Navatorana%20mandir%2C%20Khor%20Madhya%20Pradesh%20012.jpg?width=640,,,,,,,Monument of National Importance,,Nava Toran Temple,https://upload.wikimedia.org/wikipedia/commons/6/6d/Nova_Toran_Temple_%2C_Khor_%2CNeemuch_Nimach_near_vikram_Cement_Campus_%2813%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Nova_Toran_Temple_%2C_Khor_%2CNeemuch_Nimach_near_vikram_Cement_Campus_%2813%29.jpg,,,https://en.wikipedia.org/wiki/Nava_Toran_Temple,N-MP-178
Q26708817,Gujarat,22.028611,69.928889,Gop Temple,गोप मन्दिर,"சூரியக் கோயில், ஜாம்நகர்",గోప్ ఆలయం,,ഗോപ് ടെംപിൾ,,ଗୋପ ମନ୍ଦିର,,ગોપનું મંદિર,http://commons.wikimedia.org/wiki/Special:FilePath/Gop%20Gupta-Tempel%201999.JPG?width=640,,,Hindu temple architecture,,,,Monument of National Importance,,Gop temple,https://upload.wikimedia.org/wikipedia/commons/a/a4/Gop_Gupta-Tempel_1999.JPG,https://upload.wikimedia.org/wikipedia/commons/a/a4/Gop_Gupta-Tempel_1999.JPG,Public domain,Arnold Betten,https://en.wikipedia.org/wiki/Gop_Temple,N-GJ-133
Q26833741,Tamil Nadu,12.830278,79.680833,Trilokyanatha Temple,,திரைலோக்கியநாதர் கோயில்,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tiruparuthikundram%20%2815%29.jpg?width=640,,,,,,,State Protected Monument,,Trilokyanatha Temple,https://upload.wikimedia.org/wikipedia/commons/1/17/Tiruparuthikundram_%2815%29.jpg,https://upload.wikimedia.org/wikipedia/commons/1/17/Tiruparuthikundram_%2815%29.jpg,,,https://en.wikipedia.org/wiki/Trilokyanatha_Temple,S-TN-16
Q26898655,Gujarat,23.583412,72.590233,"Jasmalnathji Mahadev Temple, Asoda",,,,,,,,,જસમલનાથજી મહાદેવ મંદિર,http://commons.wikimedia.org/wiki/Special:FilePath/Jasmalnathji%20Shiva%20Temple%2C%20Asoda%2C%20Gujarat.jpg?width=640,Shiva,,,,,,Monument of National Importance,,Jasmalnathji Mahadev Temple,https://upload.wikimedia.org/wikipedia/commons/1/17/Jasmalnathji_Shiva_Temple%2C_Asoda%2C_Gujarat.jpg,https://upload.wikimedia.org/wikipedia/commons/1/17/Jasmalnathji_Shiva_Temple%2C_Asoda%2C_Gujarat.jpg,CC BY-SA 3.0,Aditya Mahar,https://en.wikipedia.org/wiki/Jasmalnathji_Mahadev_Temple,N-GJ-153
Q27074014,Gujarat,23.826183,68.778087,Lakhpat Gurdwara Sahib,लखपत गुरुद्वारा साहिब,,,,,লাখপত গুরুদুয়ারা সাহিব,,,લખપત ગુરુદ્વારા,http://commons.wikimedia.org/wiki/Special:FilePath/Lakhpat%20Gurdwara%202014-01-27%2013-07.jpg?width=640,,,,,,,State Protected Monument,,Lakhpat Gurdwara Sahib,https://upload.wikimedia.org/wikipedia/commons/7/7b/Lakhpat_Gurdwara_2014-01-27_13-07.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Lakhpat_Gurdwara_2014-01-27_13-07.jpg,CC BY-SA 3.0,User:Nizil Shah,https://en.wikipedia.org/wiki/Lakhpat_Gurdwara_Sahib,S-GJ-65
Q27230270,Kerala,10.673056,76.227500,Pallimanna Siva Temple,,பள்ளிமன்னா சிவன் கோயில்,,,പള്ളിമണ്ണ ശിവക്ഷേത്രം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pallimanna%20Siva%20temple%20complex%20DSC%200616.JPG?width=640,Shiva,,,,,,Monument of National Importance,,Pallimanna Siva temple,https://upload.wikimedia.org/wikipedia/commons/a/a0/Pallimanna_Siva_temple_complex_DSC_0618.JPG,https://upload.wikimedia.org/wikipedia/commons/a/a0/Pallimanna_Siva_temple_complex_DSC_0618.JPG,,,https://en.wikipedia.org/wiki/Pallimanna_Siva_Temple,N-KL-17
Q2728976,Madras State,12.842307,79.689679,"Kailasanathar Temple, Kanchipuram","कैलाशनाथ मंदिर, कांचीपुरम",காஞ்சிபுரம் கைலாசநாதர் கோயில்,కాంచి కైలాసనాథర్ ఆలయం,,കൈലാസനാഥർ ക്ഷേത്രം,,କାଞ୍ଚି କୈଳାସନାଥାର ମନ୍ଦିର,,"કૈલાસનાથ મંદિર, કાંચીપુરમ",http://commons.wikimedia.org/wiki/Special:FilePath/7th%20century%20Sri%20Kailashnathar%20Temple%20Kanchipuram%20Tamil%20Nadu%20India%2001%20%2813%29.jpg?width=640,,,,,,,Monument of National Importance,,"Kailasanathar Temple, Kanchipuram",https://upload.wikimedia.org/wikipedia/commons/1/19/7th_century_Sri_Kailashnathar_Temple_Kanchipuram_Tamil_Nadu_India_01_%2811%29.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/7th_century_Sri_Kailashnathar_Temple_Kanchipuram_Tamil_Nadu_India_01_%2811%29.jpg,CC BY 2.0,"Bikash Das from bangalore, india","https://en.wikipedia.org/wiki/Kailasanathar_Temple,_Kanchipuram",N-TN-C162
Q2731512,Gujarat,22.785042,73.277486,Galteswar Temple,,,గల్తేశ్వర్ ఆలయం,,,,ଗଲତେଶ୍ଵର ମହାଦେବ ମନ୍ଦିର,,ગળતેશ્વર મંદિર,http://commons.wikimedia.org/wiki/Special:FilePath/InformationAtGalteshwarTemple.jpg?width=640,Shiva,,,,,,Monument of National Importance,,Galteshwar Temple,https://upload.wikimedia.org/wikipedia/commons/1/19/General_view_of_the_Galteshwar_temple.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/General_view_of_the_Galteshwar_temple.jpg,CC BY-SA 4.0,Jaimin Mahendra patel,https://en.wikipedia.org/wiki/Galteshwar_Temple,N-GJ-144
Q27914560,Madhya Pradesh,26.584931,78.248557,"Kakanmath temple, Sihoniya",ककनमठ,,కాకన్మఠ్,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/0121621%20Kakanmath%20temple%2C%20Sihoniya%20Madhya%20Pradesh%20068.jpg?width=640,Shiva,,,,,,Monument of National Importance,,"Kakanmath Temple, Sihoniya Bawadipura",https://upload.wikimedia.org/wikipedia/commons/5/59/Kakan_Math.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Kakan_Math.jpg,CC BY-SA 4.0,Email4anchal,https://en.wikipedia.org/wiki/Kakanmath,N-MP-183
Q28035249,Madhya Pradesh,24.845111,79.936607,Adinatha temple,,,"ఆదినాథ ఆలయం, ఖజురహో",,ആദിനാഥ ക്ഷേത്രം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Krajuraho%20Adinath%20temple%202010.JPG?width=640,,,,,,,Monument of National Importance; part of UNESCO World Heritage Site,,Adinath Jain Temple Khajuraho,https://upload.wikimedia.org/wikipedia/commons/9/9f/Krajuraho_Adinath_temple_2010.JPG,https://upload.wikimedia.org/wikipedia/commons/9/9f/Krajuraho_Adinath_temple_2010.JPG,CC BY-SA 4.0,Marcin Białek,"https://en.wikipedia.org/wiki/Adinatha_temple,_Khajuraho",N-MP-24
Q28041245,Goa,15.504500,73.923500,Chapel of our Lady of the Mount,,,,,ചാപ്പൽ ഓഫ് ഔറ് ലേഡി ഓഫ് മൊണ്ടെ,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Evening%20Chapel%20of%20Our%20Lady%20of%20Monte.JPG?width=640,,Catholicism,baroque architecture,,,,Heritage of Portuguese Influence; State Protected Monument,,Chapel of Our Lady of Monte,https://upload.wikimedia.org/wikipedia/commons/8/8f/Church_of_Our_Lady_of_the_Mount.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8f/Church_of_Our_Lady_of_the_Mount.jpg,CC BY-SA 4.0,Agtambe1969,https://en.wikipedia.org/wiki/Chapel_of_Our_Lady_of_the_Mount,S-GA-42
Q28080928,Gujarat,21.121441,71.896769,Firangi Deval,,,,,,,,,ફિરંગી દેવળ,http://commons.wikimedia.org/wiki/Special:FilePath/Firangi%20Deval%2C%20Bhavnagar%20district%2C%20Gujarat%2C%20India.jpg?width=640,,,,,,,State Protected Monument,,"Firangi Deval, Kalsar",https://upload.wikimedia.org/wikipedia/commons/2/28/Firangi_Deval%2C_Bhavnagar_district%2C_Gujarat%2C_India.jpg,https://upload.wikimedia.org/wikipedia/commons/2/28/Firangi_Deval%2C_Bhavnagar_district%2C_Gujarat%2C_India.jpg,CC BY-SA 3.0,Sarthak2106,https://en.wikipedia.org/wiki/Firangi_Deval,S-GJ-33
Q28171838,Madhya Pradesh,24.846150,79.933300,Ghantai temple,घंटाई मन्दिर,,ఘంటై ఆలయం,,ഗാന്ധി ക്ഷേത്രം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/A%20ruin%2C%20pillars%20at%20Khajuraho%2C%20India.jpg?width=640,,,,,,,Monument of National Importance; part of UNESCO World Heritage Site,,Ghantaï temple Khajuraho,https://upload.wikimedia.org/wikipedia/commons/1/15/A_ruin%2C_pillars_at_Khajuraho%2C_India.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/A_ruin%2C_pillars_at_Khajuraho%2C_India.jpg,CC BY 2.0,"Patty Ho from Toronto, Canada",https://en.wikipedia.org/wiki/Ghantai_temple,N-MP-27
Q28172762,Kerala,10.167011,76.403059,Thiru Nayathode Siva Narayana Temple,,திருநயத்தோடு சிவ நாராயண கோயில்,,,തിരു നായത്തൊട് ശിവ നാരായണ ക്ഷേത്രം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Thirunayathod%20Shivanarayana%20Temple%20DSC%201568.jpg?width=640,Shiva,,,,,,State Protected Monument,,Thirunayathode Siva Narayana Temple,https://upload.wikimedia.org/wikipedia/commons/f/fd/Thirunayathod_Shivanarayana_Temple_DSC_1558.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fd/Thirunayathod_Shivanarayana_Temple_DSC_1558.jpg,,,https://en.wikipedia.org/wiki/Thiru_Nayathode_Siva_Narayana_Temple,S-KL-12
Q28173401,Madhya Pradesh,24.844620,79.936300,Shantinatha temple,,,"శాంతినాథ ఆలయం, ఖజురహో",,ശാന്തിനാഥ് ജൈന ക്ഷേത്രം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jain%20group%20of%20temples%20-%20Khajuraho%2009.jpg?width=640,,,,,,,Monument of National Importance; part of UNESCO World Heritage Site,,Shantinath Jain Temple Khajuraho,https://upload.wikimedia.org/wikipedia/commons/c/c2/Shantinath_Temple_Khajuraho.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c2/Shantinath_Temple_Khajuraho.jpg,,,"https://en.wikipedia.org/wiki/Shantinatha_temple,_Khajuraho",N-MP-30
Q28173467,Madhya Pradesh,24.850806,79.911267,Lalguan Mahadeva temple,,,లాల్గువాన్ మహాదేవ ఆలయం,,ലാൽഗുൻ മഹാദേവ ക്ഷേത്രം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lalguan%20Mahadev%20Temple%20Khajuraho.jpg?width=640,Shiva,,,,,,part of UNESCO World Heritage Site; Monument of National Importance,,Lalguan Mahadeva temple,https://upload.wikimedia.org/wikipedia/commons/f/f9/Lalguan_Mahadev_Temple_Khajuraho.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Lalguan_Mahadev_Temple_Khajuraho.jpg,CC BY-SA 4.0,Itsmalay~commonswiki,https://en.wikipedia.org/wiki/Lalguan_Mahadeva_Temple,N-MP-17
Q28178889,Rajasthan,25.927050,75.457125,Bisaldeo temple,बीसलदेव मन्दिर,,బిసల్దేవ్ ఆలయం,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bisaldeo%20temple.jpg?width=640,Shiva,,,,,,Monument of National Importance,,Bisaldeo Temple,https://upload.wikimedia.org/wikipedia/commons/5/5d/Bisaldeo_temple.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/Bisaldeo_temple.jpg,CC BY-SA 4.0,Siddharth tiwari,https://en.wikipedia.org/wiki/Bisaldeo_temple,N-RJ-102
Q28501535,Karnataka,13.252128,76.615473,"Chennakeshava Temple, Aralaguppe",,,"చెన్నకేశవ ఆలయం, అరలగుప్పె",ಅರಳುಗುಪ್ಪೆ,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Chennakeshava%20temple%20at%20Aralaguppe.jpg?width=640,,,,,,,Monument of National Importance,,"Chennakeshava Temple, Aralaguppe",https://upload.wikimedia.org/wikipedia/commons/c/cf/Chennakeshava_temple_at_Aralaguppe.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cf/Chennakeshava_temple_at_Aralaguppe.jpg,Public domain,Manjuap at English Wikipedia,"https://en.wikipedia.org/wiki/Chennakeshava_Temple,_Aralaguppe",N-KA-B193
Q28952563,Goa,15.500773,73.911756,Chapel of Saint Francis Xavier,,,,,വി. ഫ്രാൻസിസ് അസ്സിസിയുടെ ദേവാലയം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Goa%2CChapel%20of%20St.%20Xavier.jpg?width=640,,,baroque architecture,,,1884-01-01T00:00:00Z,Monument of National Importance; Heritage of Portuguese Influence,,Chapel of St. Francis Xavier (Goa),,http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Goa%2CChapel%20of%20St.%20Xavier.jpg?width=640,,,,N-GA-9
Q29025058,Maharashtra,19.517736,73.722980,Amruteshwar Temple,,,,,അമൃതേശ്വർ ക്ഷേത്രം,,,"अमृतेश्वर मंदिर, रतनवाडी",,http://commons.wikimedia.org/wiki/Special:FilePath/Amriteshwar%20temple.jpg?width=640,,,,,,,Monument of National Importance,,Amruteshwar Temple,https://upload.wikimedia.org/wikipedia/commons/c/c6/Amruteshwar_Temple_Entrance_Ratangad.JPG,https://upload.wikimedia.org/wikipedia/commons/c/c6/Amruteshwar_Temple_Entrance_Ratangad.JPG,CC BY-SA 3.0,Nitin Darekar,https://en.wikipedia.org/wiki/Amruteshwar_Temple,N-MH-A23
Q2942482,Goa,15.503769,73.912290,Se Cathedral,,,,,സീ കത്തീഡ്രൽ,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Goa%20vecchia%2C%20cattedrale%20della%20s%C3%A9%2C%20esterno%2002.jpg?width=640,Catherine of Alexandria,Catholicism,Gothic art,,,1562-01-01T00:00:00Z,Monument of National Importance; Heritage of Portuguese Influence,,Sé Cathedral (Goa),https://upload.wikimedia.org/wikipedia/commons/2/2a/Se_Cathedral_from_Rua_Direita.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Se_Cathedral_from_Rua_Direita.jpg,,,https://en.wikipedia.org/wiki/Se_Cathedral,N-GA-17
Q29467430,Tamil Nadu,12.247222,79.403333,Gingee Venkataramana Temple,,செஞ்சி வெங்கட்ரமணசாமி கோவில்,సెంజి వెంకటరమణ స్వామి ఆలయం,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Venkataraman%20Temple%2C%20Gingee.jpg?width=640,,,,,,,Monument of National Importance,,Gingee Venkataramana Temple,https://upload.wikimedia.org/wikipedia/commons/7/72/Venkataraman_Temple%2C_Gingee.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/Venkataraman_Temple%2C_Gingee.jpg,,,https://en.wikipedia.org/wiki/Gingee_Venkataramana_Temple,N-TN-C240
Q29634204,Rajasthan,25.333333,76.624167,Bhand Deva Temple,,பந்த் தேவா கோயில்,భాండ్ దేవ దేవాలయం,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhand%20devra%20Mini%20Khajurawo.jpg?width=640,Shiva,,,,,,State Protected Monument,,Bhand Devra Temple,https://upload.wikimedia.org/wikipedia/commons/1/14/Bhand_devra_Mini_Khajurawo.jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/Bhand_devra_Mini_Khajurawo.jpg,CC BY-SA 4.0,Bhubaran(Bhupendra Kumar Bairwa),https://en.wikipedia.org/wiki/Bhand_Deva_Temple,S-RJ-20
Q29863682,Gujarat,23.659032,73.083052,Roda Group of Temples,,,,,,,,,રોડા મંદિર સમૂહ,http://commons.wikimedia.org/wiki/Special:FilePath/Roda%20Temples-8.jpg?width=640,Shiva,,,,,,Monument of National Importance,,"Group of temples, Khed and Roda",https://upload.wikimedia.org/wikipedia/commons/6/64/Roda_Temples-6.jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/Roda_Temples-6.jpg,,,https://en.wikipedia.org/wiki/Roda_Group_of_Temples,N-GJ-176
Q3051967,West Bengal,22.569904,88.345947,St. John's Church,"सेंट जॉन्स चर्च, कोलकाता",,స్థ. జాన్'స్ చర్చి,,സെന്റ് ജോൺസ് ചർച്ച്,"সেন্ট জন্স চার্চ, কলকাতা",ସେନ୍ଟ ଜନ'ସ ଚାର୍ଚ,,,http://commons.wikimedia.org/wiki/Special:FilePath/Panorama%20view%20of%20St.%20John%27s%20Church%20%284%29%2C%20Kolkata%20%28cropped%29.jpg?width=640,,,Neoclassical architecture,,,1784-01-01T00:00:00Z,Monument of National Importance; KMC Heritage Building Grade I,,"St. John's Church, Kolkata",https://upload.wikimedia.org/wikipedia/commons/6/63/St._John%27s_Church_at_Hastigns_Street%2CKolkata.JPG,https://upload.wikimedia.org/wikipedia/commons/6/63/St._John%27s_Church_at_Hastigns_Street%2CKolkata.JPG,,,"https://en.wikipedia.org/wiki/St._John%27s_Church,_Kolkata",N-WB-76
Q30625771,Uttarakhand,29.907056,79.615278,Baijnath Temple Complex,बैजनाथ मन्दिर परिसर,,"బైజ్నాథ్ ఆలయ సముదాయం, ఉత్తరాఖండ్",ಬೈಜ್ನಾಥ್ ದೇವಾಲಯ ಸಂಕೀರ್ಣ,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Temples%20of%20Baijnath%2C%20Uttarakhand%2C%20India.jpg?width=640,Shiva,,,,,,Monument of National Importance,,Baijnath Temple Complex,https://upload.wikimedia.org/wikipedia/commons/1/1b/Temples_of_Baijnath%2C_Uttarakhand%2C_India.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Temples_of_Baijnath%2C_Uttarakhand%2C_India.jpg,,,https://en.wikipedia.org/wiki/Baijnath_Temple_Complex,N-UT-21
